login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
midudev,midudev/taller-platzi-live,2022-04-22T10:33:24Z,16,16,JavaScript,True,True,
midudev,midudev/libro-descubre-svelte-issues,2022-04-09T10:30:55Z,10,10,,True,True,
midudev,midudev/xkcd-app,2022-04-01T20:11:39Z,12,12,JavaScript,True,True,
midudev,midudev/vota.dev,2022-01-06T19:08:32Z,97,97,TypeScript,True,True,
midudev,midudev/twitter-autocomplete-react-algolia,2022-02-28T18:13:57Z,24,24,CSS,True,True,
midudev,midudev/deno-wordle,2022-02-04T21:34:24Z,22,22,TypeScript,True,True,
midudev,midudev/react-todo-app-with-framer-motion,2022-01-28T21:26:46Z,40,40,JavaScript,True,True,
midudev,midudev/tiktok-clone,2021-09-18T14:37:17Z,169,169,JavaScript,True,True,mit
midudev,midudev/crono,2016-02-07T11:09:02Z,3,3,HTML,True,True,mit
midudev,midudev/algolia-pwa-ecommerce,2022-01-03T20:17:22Z,24,24,TypeScript,True,True,mit
midudev,midudev/adventjs-issues,2021-12-01T15:27:21Z,33,33,,True,True,
midudev,midudev/webpack-plugin-serve,2021-06-17T18:16:51Z,3,3,,True,True,mpl-2.0
midudev,midudev/quiero-una-xbox-series-x,2021-10-23T15:57:02Z,31,31,JavaScript,True,True,
midudev,midudev/github-status-travis,2018-10-29T20:11:42Z,2,2,JavaScript,True,True,
midudev,midudev/mini-curso-practico-webpack,2021-09-01T17:29:53Z,23,23,JavaScript,True,True,
midudev,midudev/menea.dev,2021-03-05T19:27:29Z,37,37,JavaScript,True,True,
midudev,midudev/wtf.fm,2018-12-29T17:40:38Z,3,3,JavaScript,False,False,
midudev,midudev/minimal-amazon-react-clone,2021-07-30T10:15:54Z,47,47,JavaScript,True,True,
midudev,midudev/next-firebase-auth,2021-06-22T22:07:56Z,25,25,JavaScript,True,True,
midudev,midudev/sembos-browser-api,2021-07-02T20:01:10Z,2,2,,True,True,
midudev,midudev/midu-commerce,2021-06-15T16:36:57Z,11,11,TypeScript,True,True,mit
midudev,midudev/express-typescript,2021-06-06T19:53:46Z,51,51,TypeScript,True,True,
midudev,midudev/notes-app-mono-repo,2021-04-11T18:39:32Z,30,30,JavaScript,True,True,
midudev,midudev/libro-100-preguntas-sobre-javascript-issues,2021-04-12T11:02:04Z,33,33,,True,True,
midudev,midudev/notes-app-full-stack-bootcamp,2021-02-21T10:19:19Z,54,54,JavaScript,True,True,
midudev,midudev/notes-api,2021-02-21T14:03:40Z,90,90,JavaScript,True,True,
midudev,midudev/s3-folder-upload,2016-08-25T11:42:48Z,43,43,JavaScript,True,True,
midudev,midudev/vscode-icons,2021-08-23T00:14:37Z,3,3,,True,False,cc-by-4.0
midudev,midudev/puli,2021-03-03T14:15:53Z,4,4,,True,True,
midudev,midudev/midudev-bootcamp,2021-01-31T20:44:33Z,40,40,HTML,True,True,
midudev,midudev/curso-gratuito-svelte,2020-01-12T19:45:30Z,32,32,,True,True,
midudev,midudev/esbuild-null-loader,2020-11-29T18:34:52Z,3,3,,True,True,mit
midudev,midudev/docs,2020-11-06T15:28:02Z,3,3,JavaScript,True,False,cc-by-4.0
midudev,midudev/curso-nextjs-twitter-clone,2020-07-26T20:49:22Z,341,341,,True,True,
midudev,midudev/react-101-intro-presentacion,2018-11-08T20:17:21Z,2,2,JavaScript,True,True,
midudev,midudev/dotfiles,2020-08-19T08:58:14Z,4,4,,True,True,
midudev,midudev/libro-aprende-react-issues,2020-08-17T10:44:53Z,17,17,,True,True,
midudev,midudev/DianaIT,2020-08-07T08:11:55Z,2,2,,True,True,
midudev,midudev/realtime-polls,2019-10-11T18:32:00Z,3,3,JavaScript,True,True,
midudev,midudev/cards,2020-04-21T18:29:52Z,4,4,,True,True,mit
midudev,midudev/delacruz-dev,2020-07-20T13:56:19Z,2,2,,True,True,
midudev,midudev/meanio,2020-07-13T14:28:17Z,2,2,JavaScript,True,True,mit
midudev,midudev/react-router,2020-04-23T14:28:01Z,3,3,,True,False,mit
midudev,midudev/midudev-og-image,2020-04-05T11:50:59Z,2,2,JavaScript,True,True,
midudev,midudev/psi,2019-11-21T22:31:08Z,2,2,,True,True,apache-2.0
midudev,midudev/miduga.es,2016-02-06T20:28:39Z,3,3,HTML,True,True,
midudev,midudev/awesome-uses,2020-01-08T18:31:06Z,3,3,,True,True,
midudev,midudev/edgar-accordion,2020-01-14T16:19:30Z,2,2,,True,True,
midudev,midudev/github-markdown-css,2019-12-18T13:15:47Z,5,5,,True,False,mit
midudev,midudev/Consent-String-SDK-JS,2019-12-05T12:01:08Z,2,2,,True,True,mit
midudev,midudev/react-adaptive-hooks,2019-12-03T22:14:49Z,4,4,,True,True,apache-2.0
midudev,midudev/terser-webpack-plugin,2019-12-02T11:03:49Z,2,2,,True,True,mit
midudev,midudev/wouter,2019-11-28T13:56:13Z,3,3,,True,False,
midudev,midudev/react-imported-component,2019-11-20T16:03:53Z,2,2,,True,False,mit
midudev,midudev/el-frontend-del-futuro,2018-11-29T09:14:59Z,20,20,JavaScript,True,True,
midudev,midudev/next.js,2018-12-06T12:30:09Z,5,5,JavaScript,True,True,mit
midudev,midudev/osw-hacktoberfest-2019,2019-10-06T08:53:03Z,2,2,,True,True,mit
midudev,midudev/hyper-infoline,2019-08-16T09:27:33Z,2,2,,True,True,
midudev,midudev/hyper,2019-08-16T09:13:44Z,2,2,JavaScript,True,False,mit
